fr,en,es
"Bonjour, bienvenue au centre pokémon de campagne, voulez-vous que je soigne vos Pokémon ?","Hello, welcome to the countryside Pokémon Center. Would you like me to heal your Pokémon?",
Laissez les moi un instant.,Please entrust them to me a moment.,
"Et voilà, à bientôt !",Done! See you soon!,
Au revoir !,See you!,
,,
\C[2]Pêcheur\C[0] : Chalut p'tite tête ! J'suis l'seul vrai pêcheur d'coin ! L'aut' atbruti est pô foutu d'trouver un point d'eau !,"\C[2]Fisherman\C[0] : S'up, lil' buddy? I'm the only real fisherman 'round. The other moron ain't no smart nuff to find a fishing spot!",
"T'm'as l'air capable ! Ca t'dirait d'pêcher avec moi ?\nlJ't'expliquerai comment qu'ça marche. Si t'apprends bien tout c'que te dis, j'te donnerai la CS Surf !","Ya lookin competent. Whaddya say 'bout fishing with me?\nlI'll teach ya how it's done! If ya listen to everything I'm sayin', I'll even give ya HM Surf!",
"Allez l'ami, prends donc cette canne !","C'mon pal, take this rod!",
\C[2]Pêcheur\C[0] : Vas-y ! Essaie d'la lancer dans l'eau !,\C[2]Fisherman\C[0] : Go! Try to throw it in the water!,
"\C[2]Pêcheur\C[0] : Pour savoir pêcher, y'faut pêcher, p'tite tête !","\C[2]Fisherman\C[0] : To know how to fish, ya must fish, lil' buddy!",
\C[2]Pêcheur\C[0] : Bien !,\C[2]Fisherman\C[0] : Gud!,
R'garde les points au-d'ssus d'ta tête. Y veulent dire qu't'attends la poiscaille !,See them dots above yer head ? They're showing ya're busy waiting for the fish!,
\C[2]Pêcheur\C[0] : Olaa ! T'as un poiscaille qui t'mord la ligne ! C'est l'moment où faut vite l'a r'tirer !,"\C[2]Fisherman\C[0] : Woa! Ya got a fish hooked on yer line! Reel it up fast, now!",
\C[2]Pêcheur\C[0] : Eeeeh ! J'tai dis d'vite tirer ! Tu comprend pô quand j'te cause ?!,"\C[2]Fisherman\C[0] : Tch, I told ya to reel it up fast! Don't cha get what I'm sayin'?",
"\C[2]Pêcheur\C[0] : Si t'remont' trop vite la ligne, ben t'vas rien attraper !","\C[2]Fisherman\C[0] : Slow down, pal, reel it up too soon and ya won't get anything!",
"\C[2]Pêcheur\C[0] : Dommage, ça n'a pas voulu modre c'te fois ! Pas grave, t'as qu'à la rl'ancer !","\C[2]Fisherman\C[0] : Such shame. Nuttin' took that bait, this time! Whatever, just try again!",
\C[2]Pêcheur\C[0] : Ben voilà p'tite tête ! T'voilà capable de pêcher des Pokémon !,"\C[2]Fisherman\C[0] : Neat job, lil' buddy! Now ya really can fish for Pokémon!",
"\C[2]Pêcheur\C[0] : J't'ai transmis les bases,à toi d'explorer les lacs et rivières du coin !","\C[2]Fisherman\C[0] : Ya gone through with the basics, now ya oughta explore them lakes and rivers 'round here.",
"\C[2]Pêcheur\C[0] : Bien joué, t'as presqu'la pêche dans l'sang on va dire !","\C[2]Fisherman\C[0] : Gud job, you practically got fishin' in yer soul!",
"P'dant qu'j'y pense, prend c'te CS elle t'servira pour explorer l'reste d'la zone !","Before I forget, take this HM, it's gonna help ya explore the rest of the zone.",
"Apprends la à un d'tes pokémons eau, ça lui permettra d'te prendre avec toi !","Teach it to one of ya water-type Pokémon, it'll let it take ya along.",
,,
Tu veux déjà partir ?,You already want to leave?,
"D'accord, je t'attends ici. Viens me trouver quand tu voudras reprendre la visite.","Okay, I'm waiting for you here. Come get me when you want to resume the tour.",
Il y a plein de choses à voir par ici !,There's a lot to see here!,
"Sur ton vélo, je ne pourrai pas te suivre, alors je t'attends là. Viens me trouver quand tu auras terminé avec ton vélo !","I won't be able to follow you while you're on your bike, so I'll wait you here. Come get me once you are finished riding your bike.",
Au fait !,By the way!,
"J'ai commencé à te suivre en appelant le script \C[1]this.start_follow(gp)\C[0], je t'explique :\nl\C[1]this\C[0] pour dire que c'est moi qui fait.\nl\C[1]start_follow\C[0] pour dire quoi faire.\nl\C[1]gp\C[0] un raccourci pour $game_player.",I started following you by calling the script \C[1]this.start_follow(gp)\C[0]. I explain :\nl\C[1]this\C[0] to say I'm the one doing it.\nl\C[1]start_follow\C[0] to say what to do.\nl\C[1]gp\C[0] a shortcut for $game_player.,
"Si tu veux plus de détails, je te laisse aller sur le wiki dans la section Tutoriels. D'ailleurs, tous les systèmes ici ont leur tutoriel.","If you want more details, go to the wiki, in the Tutorials section. Furthermore, every system here has a tutorial.",
"Ça tu vois, c'est un passage pour le Vélo Cross, on ne peut passer qu'en faisant un Bunny Hop.","This, you see, is a passage for the cross bike. You can only pass by performing a Bunny Hop.",
"Pour faire un bunny hop, rien de plus simple !",Doing a bunny hop is a piece of cake!,
Tu montes sur ton vélo cross et tu restes appuyé sur X !,Get on your cross bike and hold X pressed!,
"Nous nous trouvons actuellement sur une pente douce, un ajout qui a suscité beaucoup d'intérêt chez les membres de la communauté PSDK !","We're currently standing on a gentle slope, a feature which sparked the PSDK community's members' interest! ",
Même si ce n'est pas grand chose...,Even if it's not much...,
"Enfin bref, la pente douce se paramètre grâce aux SystemTags \C[5]Slope\C[0], et aux passages du tileset.","Anyway, the gentle slope is configured with the SystemTags \C[5]Slope\C[0], and the passabilities of the tileset.",
"La pente se calcule automatiquement, donc si tu as des tiles de pentes plus courtes, ça ne pose aucun souci !","The slope is automatically calculated, so if you have shorter slopes tiles, it is not a problem!",
Une dernière chose : va voir le Wiki pour les tuto sur les pentes !,One last thing : go check the Wiki for the slopes' tutorials!,
"Une info intéressante : quand tu marches dans les herbes hautes recouvertes de cendres, tu en ramasses.","One interesting info : when you walk in the tall grasses covered by ashes, you're collecting it.",
Regarde !,Look!,
"Les cendres servent à fabriquer des objets, tu as peut-être rencontré le vieux monsieur à côté du centre pokémon de campagne.","Ashes serve to make objects, you probably encountered the old man next to the countryside Pokémon Center.",
"Sa spécialité, qui est aussi son originalité, est de fabriquer des vélos à partir des cendres et d'autres matériaux.","His specialty, which is also his originality, is to make bikes out of ashes and other materials. ",
Il est inutile de te dire que les vélos seront utiles plus tard !,Needless to say bikes will be useful later!,
"Les murets ont un peu changé aussi, pas grand chose : mêmes SystemTags, mais ils doivent être bloquant dans les paramètres tileset.","The walls changed a little, too, but not too much : same SystemTags, but they need to be blocking in the tileset settings.",
L'animation a été un peu améliorée aussi.,The animation was slightly improved as well.,
"Note les tiles marqués Z=X, ils déterminent l'altitude des events et du joueur quand ils passent dessus, ce sont eux qui permettent de créer des ponts.","Please note the tiles marqued Z=X, they determine the event's and the player's altitude when they step on it. It is those which allow to create bridges.",
"Bien évidemment, il faut d'abord attribuer les SystemTags qui correspondent, et lors de la sortie du jeu ou d'une démo, les remplacer dans le tileset par des tiles vides.","Of course, you need to assign first the corresponding SystemTags, and at the game's launch of for a demo, replace them in the tileset by empty tiles.",
Tu vois cette zone sombre dans la rivière ?,Do you see this dark zone in the river?,
Elle est marquée du SystemTag \C[4]Underwater\C[0] et du terrain 0.,It's marqued by the SystemTag \C[4]Underwater\C[0] and the terrain 0.,
"Elle indique que si on utilise plongée à cet endroit, on pourra accéder à une map sous-marine !","It indicates that if you use Dive here, you can access an underwater map!",
"Si cette zone nous faisait plutôt remonter, elle aurait le même SystemTag, mais avec le terrain 1.","If this zone would instead make us ascend back, it would have the same SystemTag, but with the terrain 1.",
Explore la zone et tu vivras cette expérience fabuleuse !,Explore the zone and you'll live this wonderful experience!,
Ça alors !,Oh my!,
Il y avait une belle prairie ici avant !,There used to be a beautiful grassland here!,
"Et maintenant, des marais boueux...\nlComment... ?","And now, dirty swamps...\nlHow?",
"Je crois qu'il y a un lac sous-terrain dessous, à force, l'eau a dû remonter... Je ne sais pas, je ne suis pas venu ici depuis tellement longtemps !","I believe there is an underground lake beneath. With time, water must have ascended. I don't know, I hadn't come here for a long time! ",
"Quoi qu'il en soit, au centre de la prair... des marais, il y a une source de Carbone, de temps en temps il en remonte une capsule.","Anyway, at the center of the grassla... of the swamp, there is a source of Carbon. From time to time, a capsule rises. ",
Au fait ! Les marais sont gérés par le SystemTags \C[3]Swamp\C[0] pour les marais où l'on s'enfonce jusqu'à la taille.,By the way! Swamps are managed by the SystemTags \C[3]Swamp\C[0] for those where we're engulfed up to the waist.,
Et par le SystemTag \C[3]DeepSwamp\C[0] quand on s'enfonce jusqu'au cou et qu'il faut se dépétrer...,And by the SystemTag \C[3]DeepSwamp\C[0] when it's up to the neck and we need to extricate ourselves.,
Ça alors ! Un Mew ! Un pokémon unique et extrêmement rare ! Que faisait-il ici ?,"Oh my! A Mew! A unique Pokémon, extremely rare! What was it doing here?",
"On dirait qu'il faut un Vélo Cross pour descendre, quel dommage...",Looks like a cross bike is needed to go down. What a shame...,
Hmm...,Hmm...,
"Voici la Grotte de la Tour, une zone de danger et de défis. Tu auras besoin de tout ton courage et de prendre ta journée pour en sortir...","Here is the Tower's Cave, a zone of danger and trials. You'll need all your courage, and to take a day off in order to exit it...",
C'est un labyrinthe dont personne n'est encore sorti !,It's a labyrinth from which nobody ever exited!,
"Enfin, c'est ce qui est marqué sur la brochure. En réalité tu as deux trois trucs sympa à l'intérieur et tu peux sortir quand tu veux !","At least, that's what's written on the booklet. Actually, there are two or three fun things inside and you can leave whenever you want!",
"Alors ! Tu l'as eu, ce Mew ?","So, did you catch that Mew?",
...,NANI?!,
C'était un Metamorph ?,That was a Ditto?,
Ah... Eh bien c'est ce qu'on appelle un attrape-couillon !,Ah... Well that's what I call a newbie-trap!,
L'histoire de la démo est terminée !,The demo's story is finished!,
"Merci d'avoir joué, pour voir comment les choses ont été faites, allez voir le Wiki et le projet de base de PSDK, vous y trouverez tout un tas de choses !","Thanks for playing! To see how things were done, go check the Wiki and the base project of PSDK, you'll find a lot of useful things!",
,,
"\C[2]Statue bizarre\C[0] : Seuls passeront ceux qui peuvent nager, plonger et remonter les cascades tel le saumon frétillant !","\C[2]Strange statue\C[0] : Only those who can swim, dive and climb waterfalls like the wriggling salmon may pass!",
