Index,en,fr,de,es,it,kana,ko
55,Fight %{amount} %{name} (%{found}),Battre %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found}),Fight %{amount} %{name} (%{found})
56,Catch %{amount} %{name} (%{found}),Capturer %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found}),Obtain %{amount} %{name} (%{found})
57,Beat %{name} %{amount} times (%{found}),Battre %{name} %{amount} fois (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found}),Beat %{name} %{amount} times (%{found})
58,Beat %{name},Battre %{name},Beat %{name},Beat %{name},Beat %{name},Beat %{name},Beat %{name}
59,Find %{amount} eggs (%{found}),Trouver %{amount}  œufs (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found}),Find %{amount} eggs (%{found})
60,Find an egg,Trouver un œuf,Find an egg,Find an egg,Find an egg,Find an egg,Find an egg
61,Hatch %{amount} eggs (%{found}),Faire éclore %{amount}  œufs (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found}),Hatch %{amount} eggs (%{found})
62,Hatch an egg,Faire éclore un œuf,Hatch an egg,Hatch an egg,Hatch an egg,Hatch an egg,Hatch an egg
63, type %s, de type %s, type %s, type %s, type %s, type %s, type %s
64, nature %s, ayant la nature %s, nature %s, nature %s, nature %s, nature %s, nature %s
65, level %d, au niveau %d, level %d, level %d, level %d, level %d, level %d
66, having minimum level %d,d'un niveau minimal de %d, having minimum level %d, having minimum level %d, having minimum level %d, having minimum level %d, having minimum level %d
67, to maximum level %d,à un niveau maximal de %d, to maximum level %d, to maximum level %d, to maximum level %d, to maximum level %d, to maximum level %d
68, having maximum level %d,d'un niveau maximal de %d, having maximum level %d, having maximum level %d, having maximum level %d, having maximum level %d, having maximum level %d
69,,,,,,,
70,Weight: %.2f kg,Poids : %.2f kg,Weight: %.2f kg,Weight: %.2f kg,Weight: %.2f kg,Weight: %.2f kg,Weight: %.2f kg
71,Height: %.2f m,Taille : %.2f m,Height: %.2f m,Height: %.2f m,Height: %.2f m,Height: %.2f m,Height: %.2f m
72,,,,,,,
73,Palbolsky's PC,PC de Palbolsky,Palbolsky's PC,Palbolsky's PC,Palbolsky's PC,Palbolsky's PC,Palbolsky's PC
74,Professor's PC,PC du Professeur,Professor's PC,Professor's PC,Professor's PC,Professor's PC,Professor's PC
75,Turn off,Déconnexion,Turn off,Turn off,Turn off,Turn off,Turn off
76,,,,,,,
77,Organize Boxes,Ranger les Boîtes,Organize Boxes,Organize Boxes,Organize Boxes,Organize Boxes,Organize Boxes
78,Withdraw Pokémon,Retirer des Pokémon,Withdraw Pokémon,Withdraw Pokémon,Withdraw Pokémon,Withdraw Pokémon,Withdraw Pokémon
79,Deposit Pokémon,Déposer des Pokémon,Deposit Pokémon,Deposit Pokémon,Deposit Pokémon,Deposit Pokémon,Deposit Pokémon
80,Manage items,Gérer les objets,Manage items,Manage items,Manage items,Manage items,Manage items
81,See ya!,Quitter,See ya!,See ya!,See ya!,See ya!,See ya!
82,,,,,,,
83,%s booted up the PC.,%s allume le PC.,%s booted up the PC.,%s booted up the PC.,%s booted up the PC.,%s booted up the PC.,%s booted up the PC.
84,"Which PC to access ?
",A quel PC souhaitez-vous accéder ?,,,,,
85,"What to do ?
",Que voulez-vous faire ?,,,,,
86,Professor seems afk...,Le professeur semble absent pour le moment...,Professor seems afk...,Professor seems afk...,Professor seems afk...,Professor seems afk...,Professor seems afk...
87,Cancel trade ?,Voulez-vous annuler l'échange ?,Cancel trade ?,Cancel trade ?,Cancel trade ?,Cancel trade ?,Cancel trade ?
88,Choose the theme.\nlUse left and right arrow to switch theme.,Choisissez votre thème.\nl(Flèche gauche et droite pour changer de thème.),Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.,Choose the theme.\nlUse left and right arrow to switch theme.
89,The new theme was registered.,Le nouveau thème a été enregistré.,The new theme was registered.,The new theme was registered.,The new theme was registered.,The new theme was registered.,The new theme was registered.
90,Trade,Échanger,Trade,Trade,Trade,Trade,Trade
91,%s holds no item.,%s ne tient rien.,%s holds no item.,%s holds no item.,%s holds no item.,%s holds no item.,%s holds no item.
92,,,,,,,
93,,,,,,,
94,Do you accept the trade ?,Acceptez-vous l'échange ?,Do you accept the trade ?,Do you accept the trade ?,Do you accept the trade ?,Do you accept the trade ?,Do you accept the trade ?
95,Yes,Oui,Yes,Yes,Yes,Yes,Yes
96,No,Non,No,No,No,No,No
97,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,Vous refusez l'échange[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].,You declined the trade[WAIT 40].[WAIT 40].[WAIT 40].
98,Trade done! (Animation will come later),Echange effectué (l'animation c'est pour plus tard),Trade done! (Animation will come later),Trade done! (Animation will come later),Trade done! (Animation will come later),Trade done! (Animation will come later),Trade done! (Animation will come later)
99,Trade canceled...,L'échange a été annulé...,Trade canceled...,Trade canceled...,Trade canceled...,Trade canceled...,Trade canceled...
100,Give up ?,Voulez-vous abandonner ?,Give up ?,Give up ?,Give up ?,Give up ?,Give up ?
101,Your partner declined the trade.,Votre partenaire a refusé l'échange.,Your partner declined the trade.,Your partner declined the trade.,Your partner declined the trade.,Your partner declined the trade.,Your partner declined the trade.
102,Do you wanna trade with %s (%05d)?,Voulez-vous échanger avec %s (%05d) ?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?,Do you wanna trade with %s (%05d)?
103,"Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Votre code est \c[2]%s\c[0], donnez le à votre partenaire...\nlVous pouvez utiliser CTRL+C pour le copier.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code.","Your code is \c[2]%s\c[0], give it to your partner...\nlYou can use CTRL+C to copy the code."
104,PSDK wasn't able to port forward the server...,PSDK n'a pas réussi à ouvrir un port...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...,PSDK wasn't able to port forward the server...
105,Enter your partner code.\nlYou can use CTRL+V to paste it.,Entrez le code de votre partenaire.\nlVous pouvez utiliser CTRL+V pour le coller.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.,Enter your partner code.\nlYou can use CTRL+V to paste it.
106,Invalid code! Try another one ?,"Le code est invalide, désirez-vous réessayer ?",Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?,Invalid code! Try another one ?
107,Your partner isn't connected with this code...\nlTry with another one ?,Le partenaire désigné par le code ne répond pas...\nlDésirez vous entrer un autre code ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?,Your partner isn't connected with this code...\nlTry with another one ?
108,"\c[2]Warning, you're trading on a local network.","\c[2]Attention, votre échange se fait sur le réseau local.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network.","\c[2]Warning, you're trading on a local network."
109,Your partner gave up...,Votre partenaire a abandonné l'échange.,Your partner given up...,Your partner given up...,Your partner given up...,Your partner given up...,Your partner given up...
110,Connexion reset.,La connexion a été interrompue.,Connexion reset.,Connexion reset.,Connexion reset.,Connexion reset.,Connexion reset.
111,,,,,,,
112,: next,: suivant,: next,: next,: next,: next,: 다음
113,: moves,: attaques,: moves,: moves,: moves,: moves,: 이동
114,: stats,: stats,: stats,: stats,: stats,: stats,: 통계
115,: quit,: quitter,: quit,: quit,: quit,: quit,: 종료
116,: memo,: memo,: memo,: memo,: memo,: memo,: 메모
117,: select,: choisir,: select,: select,: select,: select,: 고르다
118,: switch,: déplacer,: switch,: switch,: switch,: switch,: 스위치
119,: confirm,: confirmer,: confirm,: confirm,: confirm,: confirm,: 확인
120,Choose a move,Choisissez une attaque,Choose a move,Choose a move,Choose a move,Choose a move,이동을 선택
